carrera,tipo,cohortes
Seminario de lectura: Contribuciones al diálogo entre la pedagogía y la cultura,Curso,2019
Seminario Educación Sexual Integral,Curso,2021
"Seminario En defensa de los estudios escolares. El Trabajo desconcertante, inquietante e indefinido de la experiencia de la libertad y la igualdad en la escuela",Curso,2019
Seminario Formación docente y transmisión: viejos y nuevos debates,Curso,2016
"Seminario para tutores en Pedagogía y Cultura: ""El legado y la transmisión""",Curso,2017
Seminario. Enciclopedia imaginaria: cuentos de Borges,Curso,2018
Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado,Curso,2018
Seminario. La Enseñanza y el Aprendizaje Basados en Proyectos. Una propuesta de implementación en torno a la energía y el desarrollo sostenible,Curso,2018
Seminario. Preguntas y signos sobre la época. Las palabras del mundo,Curso,2022
"Seminario. Preguntas y signos sobre la época. Modos de ver, formas del saber.",Curso,2022
Seminario: Formación para equipos docentes del Secundario para Jóvenes y Adultos en línea,Curso,2021
"Taller ""La clase en pantuflas""",Curso,2020
"Taller ""Las imágenes y el cine en la enseñanza del inglés""",Curso,2018
"Taller ""Manos en la ciencia: El laboratorio escolar""",Curso,2021
Taller Dar clase en la modalidad combinada. El oficio del tutor/a-profesor/a en ISEP,Curso,2022
"Taller de Análisis y Producción de Materiales de Enseñanza. Experiencias, registros y reflexión sobre la práctica.",Curso,2022
Taller de Producción de Materiales de Enseñanza para la Educación Secundaria.,Curso,2022
Taller:  Dar clase con herramientas digitales,Curso,2020
Taller: Dar clase en la educación de jóvenes y adultos con herramientas digitales,Curso,2020
Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,Postítulo,2016
Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,Postítulo,2016
Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,Postítulo,2016
Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Postítulo,2016
Trayecto Pedagógico para Graduados no Docentes,Postítulo,2022
